,data,precalculated,result,Diff
415,866.123,864.78,864.7802373,0.000237283
416,871.052,869.071,869.0712603,0.000260278
417,876.203,873.39,873.3904475,0.000447516
418,863.666,877.389,877.3891716,0.000171644
419,874.03,881.521,881.5213074,0.000307415
420,875.678,885.614,885.6138717,0.000128309
421,887.632,889.87,889.870078,7.80395E-05
422,900.337,894.303,894.3030422,4.22286E-05
423,888.743,898.432,898.4324761,0.000476073
424,902.071,902.752,902.7519516,4.83561E-05
425,904.624,907.047,907.0473567,0.000356745
426,912.037,911.415,911.4145237,0.000476291
427,917.339,915.811,915.8110813,8.1317E-05
428,911.167,920.011,920.0106693,0.000330737
429,910.566,924.125,924.1248007,0.000199257
430,920.706,928.366,928.3657535,0.000246473
431,923.89,932.595,932.5952176,0.000217637
432,940.271,937.073,937.0731336,0.00013359
433,934.595,941.363,941.3625663,0.000433665
434,933.39,945.553,945.5532915,0.000291534
435,946.962,949.937,949.9372316,0.000231577
436,940.554,954.119,954.1188772,0.000122761
437,949.077,958.394,958.3941937,0.000193726
438,959.758,962.805,962.8046987,0.000301322
439,957.11,967.086,967.0864308,0.000430809
440,974.554,971.636,971.6363235,0.000323544
441,967.126,975.962,975.9617304,0.00026957
442,969.593,980.26,980.2596421,0.000357949
443,974.379,984.576,984.575918,8.19948E-05
444,993.676,989.196,989.1961587,0.000158705
445,1000,993.864,993.861751,0.002248973
446,990.298,998.258,998.2564156,0.001584406
447,1006,1003,1002.883144,0.11685585
448,995.695,1007,1007.227222,0.227221912
449,1015,1012,1011.874639,0.125361376
450,1004,1016,1016.225302,0.225302325
451,1023,1021,1020.873039,0.126961132
452,1022,1025,1025.420833,0.420833344
453,1032,1030,1030.08627,0.086270076
454,1027,1035,1034.572565,0.427435079
455,1039,1039,1039.216294,0.216294429
456,1036,1044,1043.720289,0.279710863
457,1043,1048,1048.282832,0.282831624
458,1043,1053,1052.765335,0.234664509
459,1048,1057,1057.266999,0.266998922
460,1060,1062,1061.925472,0.074528154
461,1067,1067,1066.640618,0.359381737
462,1066,1071,1071.254149,0.254149323
463,1079,1076,1076.042803,0.042803031
464,1071,1081,1080.590985,0.409014807
465,1088,1085,1085.393534,0.393534085
466,1094,1090,1090.231132,0.231132215
467,1096,1095,1095.024505,0.024505113
468,1102,1100,1099.852786,0.147213549
469,1096,1105,1104.479065,0.520934569
470,1107,1109,1109.240183,0.240183248
471,1117,1114,1114.115029,0.115029012
472,1116,1119,1118.885632,0.114368419
473,1119,1124,1123.631714,0.368286492
474,1126,1128,1128.432233,0.43223252
475,1127,1133,1133.168325,0.168324583
476,1126,1138,1137.801102,0.198898137
477,1144,1143,1142.705885,0.294115352
478,1149,1148,1147.62376,0.376240108
479,1139,1152,1152.258899,0.25889879
480,1150,1157,1157.027772,0.02777213
481,1155,1162,1161.810757,0.189243053
482,1170,1167,1166.804682,0.19531766
483,1171,1172,1171.731509,0.268491113
484,1171,1177,1176.572069,0.427931182
485,1167,1181,1181.24827,0.248269912
486,1175,1186,1185.998094,0.001906397
487,1182,1191,1190.801035,0.198965257
488,1193,1196,1195.735314,0.264685798
489,1189,1201,1200.503961,0.496039119
490,1200,1205,1205.404085,0.404085431
491,1212,1211,1210.454026,0.545973963
492,1218,1216,1215.533983,0.466017106
493,1215,1221,1220.46619,0.533809916
494,1228,1226,1225.567283,0.43271718
495,1235,1231,1230.717275,0.282725411
496,1226,1236,1235.600265,0.399735463
497,1225,1240,1240.376394,0.376393897
498,1250,1246,1245.558994,0.441005601
499,1243,1251,1250.5134,0.486599512
500,1250,1256,1255.517617,0.482382838
501,1245,1260,1260.33458,0.334580132
502,1255,1265,1265.261623,0.261622622
503,1257,1270,1270.139936,0.139935598
504,1275,1275,1275.285218,0.285218181
505,1280,1280,1280.438591,0.438590778
506,1277,1285,1285.442209,0.442208733
507,1291,1291,1290.632445,0.367554987
508,1293,1296,1295.770901,0.229099164
509,1292,1301,1300.79885,0.201150427
510,1304,1306,1305.973458,0.026541937
511,1302,1311,1311.017303,0.017303158
512,1304,1316,1316.010383,0.010383486
513,1320,1321,1321.229003,0.229003056
514,1320,1326,1326.355561,0.35556067
515,1334,1332,1331.666748,0.333252057
